iter	Passed	Remaining
0	1	1513
1	2	1334
2	3	1280
3	5	1274
4	6	1226
5	7	1210
6	9	1317
7	10	1316
8	12	1323
9	13	1345
10	14	1342
11	16	1328
12	17	1306
13	18	1312
14	19	1296
15	20	1281
16	22	1282
17	23	1275
18	24	1264
19	27	1323
20	28	1333
21	29	1325
22	30	1315
23	32	1340
24	34	1333
25	36	1370
26	39	1410
27	40	1414
28	42	1417
29	43	1404
30	45	1411
31	46	1409
32	47	1400
33	49	1412
34	51	1413
35	52	1410
36	53	1405
37	55	1395
38	56	1385
39	57	1385
40	59	1385
41	60	1379
42	61	1374
43	64	1396
44	65	1394
45	66	1384
46	67	1376
47	69	1373
48	70	1373
49	72	1369
50	73	1362
51	74	1355
52	75	1350
53	77	1357
54	79	1361
55	80	1357
56	81	1350
57	82	1343
58	83	1337
59	84	1330
60	86	1323
61	87	1317
62	88	1312
63	90	1320
64	91	1318
65	93	1317
66	94	1319
67	97	1339
68	100	1353
69	102	1361
70	105	1385
71	107	1389
72	109	1391
73	111	1400
74	116	1440
75	120	1459
76	122	1462
77	125	1481
78	126	1480
79	128	1479
80	130	1485
81	133	1500
82	134	1491
83	136	1489
84	138	1487
85	139	1485
86	141	1484
87	143	1482
88	145	1487
89	147	1487
90	148	1486
91	150	1486
92	152	1485
93	154	1484
94	155	1483
95	158	1492
96	162	1510
97	164	1514
98	168	1530
99	187	1690
100	191	1702
101	192	1698
102	194	1691
103	195	1684
104	196	1678
105	200	1695
106	203	1697
107	205	1695
108	206	1690
109	208	1689
110	210	1685
111	212	1683
112	214	1684
113	218	1696
114	220	1693
115	221	1688
116	222	1681
117	224	1678
118	226	1678
119	228	1679
120	230	1674
121	231	1669
122	233	1665
123	235	1661
124	236	1654
125	237	1648
126	238	1640
127	239	1634
128	241	1629
129	243	1627
130	244	1621
131	245	1615
132	246	1609
133	248	1602
134	249	1598
135	250	1594
136	252	1589
137	253	1583
138	254	1578
139	260	1598
140	262	1597
141	263	1590
142	264	1586
143	266	1582
144	267	1577
145	276	1617
146	278	1614
147	280	1612
148	281	1606
149	282	1600
150	283	1594
151	285	1594
152	287	1590
153	288	1585
154	289	1580
155	291	1575
156	292	1569
157	293	1563
158	294	1557
159	295	1552
160	296	1547
161	300	1553
162	301	1548
163	302	1544
164	304	1540
165	305	1536
166	307	1532
167	308	1529
168	310	1526
169	313	1530
170	315	1530
171	317	1530
172	319	1527
173	320	1523
174	322	1521
175	324	1517
176	326	1516
177	327	1513
178	329	1509
179	330	1504
180	331	1502
181	333	1497
182	334	1492
183	335	1487
184	336	1482
185	337	1477
186	338	1472
187	339	1467
188	340	1462
189	342	1458
190	342	1452
191	344	1447
192	345	1443
193	346	1439
194	347	1435
195	348	1430
196	349	1425
197	350	1420
198	351	1415
199	352	1410
200	353	1406
201	355	1402
202	356	1398
203	357	1394
204	358	1390
205	359	1386
206	361	1383
207	362	1378
208	363	1374
209	364	1371
210	366	1369
211	367	1366
212	368	1361
213	369	1357
214	370	1352
215	371	1348
